Date,Region,Product,Category,Revenue,COGS,Operating_Cost,Marketing_Cost,Total_Cost,Profit,Profit_Margin_%,Calculated_Profit,Calculated_Profit_Margin_%
2023-01-01,East,Product C,Furniture,7708,13383,3772,4595,21750,-14042,-182.17,-14042,-182.17436429683445
2023-01-02,West,Product A,Office Supplies,16694,18378,4726,2779,25883,-9189,-55.04,-9189,-55.04372828561159
2023-01-03,North,Product A,Electronics,14524,24737,8232,1288,34257,-19733,-135.86,-19733,-135.8647755439273
2023-01-04,East,Product D,Electronics,36880,4353,12339,7951,24643,12237,33.18,12237,33.18058568329718
2023-01-05,East,Product C,Electronics,44224,25821,13281,1214,40316,3908,8.84,3908,8.836830680173662
2023-01-06,West,Product A,Electronics,41980,6799,5806,5354,17959,24021,57.22,24021,57.220104811815155
2023-01-07,North,Product D,Electronics,37409,19070,3190,3349,25609,11800,31.54,11800,31.543211526637975
2023-01-08,North,Product C,Electronics,18224,26860,10108,1275,38243,-20019,-109.85,-20019,-109.84964881474978
2023-01-09,East,Product D,Electronics,45738,23195,13178,4526,40899,4839,10.58,4839,10.579824216187852
2023-01-10,South,Product B,Furniture,30150,13939,3875,7369,25183,4967,16.47,4967,16.4742951907131
2023-01-11,East,Product A,Office Supplies,39393,27338,6592,2747,36677,2716,6.89,2716,6.8946259487726245
2023-01-12,East,Product B,Electronics,48082,23730,2440,7588,33758,14324,29.79,14324,29.790774094255646
2023-01-13,East,Product C,Furniture,12973,23427,13592,578,37597,-24624,-189.81,-24624,-189.80960456332383
2023-01-14,East,Product B,Furniture,13577,4428,9927,7599,21954,-8377,-61.7,-8377,-61.699933711423725
2023-01-15,West,Product B,Office Supplies,13070,29083,12760,4426,46269,-33199,-254.01,-33199,-254.009181331293
2023-01-16,North,Product C,Electronics,13666,23510,7059,1355,31924,-18258,-133.6,-18258,-133.60163910434656
2023-01-17,West,Product D,Office Supplies,41368,26604,12530,7840,46974,-5606,-13.55,-5606,-13.551537420228197
2023-01-18,West,Product B,Electronics,11783,27482,8010,7110,42602,-30819,-261.55,-30819,-261.55478231350247
2023-01-19,West,Product D,Furniture,46914,13296,12207,7224,32727,14187,30.24,14187,30.240439953958308
2023-01-20,East,Product B,Furniture,9971,9813,8117,6035,23965,-13994,-140.35,-13994,-140.34700631832314
2023-01-21,South,Product D,Furniture,18490,16414,12081,7583,36078,-17588,-95.12,-17588,-95.12168739859383
2023-01-22,North,Product C,Furniture,6990,29570,10153,7092,46815,-39825,-569.74,-39825,-569.7424892703863
2023-01-23,South,Product B,Office Supplies,10299,29082,3989,6730,39801,-29502,-286.45,-29502,-286.45499563064374
2023-01-24,West,Product C,Electronics,24956,13801,13040,2648,29489,-4533,-18.16,-4533,-18.16396858470909
2023-01-25,West,Product B,Electronics,27359,13745,10218,1531,25494,1865,6.82,1865,6.816769618772615
2023-01-26,South,Product C,Office Supplies,42148,28029,7228,5440,40697,1451,3.44,1451,3.4426307298092436
2023-01-27,South,Product C,Electronics,33734,15025,13057,3771,31853,1881,5.58,1881,5.575976759352582
2023-01-28,South,Product B,Furniture,9757,5356,7471,4076,16903,-7146,-73.24,-7146,-73.2397253254074
2023-01-29,West,Product B,Electronics,24097,27091,3863,4682,35636,-11539,-47.89,-11539,-47.88562891646263
2023-01-30,West,Product B,Furniture,15395,16288,14761,6686,37735,-22340,-145.11,-22340,-145.1120493666775
2023-01-31,North,Product A,Office Supplies,21241,25650,11693,3956,41299,-20058,-94.43,-20058,-94.43058236429547
2023-02-01,North,Product D,Electronics,43356,8540,11139,4006,23685,19671,45.37,19671,45.370882922778854
2023-02-02,West,Product A,Office Supplies,32696,18422,2177,907,21506,11190,34.22,11190,34.22436995351113
2023-02-03,South,Product A,Electronics,9944,5342,5760,3211,14313,-4369,-43.94,-4369,-43.93604183427192
2023-02-04,South,Product C,Furniture,24816,11078,1011,3588,15677,9139,36.83,9139,36.82704706640877
2023-02-05,North,Product B,Office Supplies,42011,4844,6252,2168,13264,28747,68.43,28747,68.42731665516175
2023-02-06,West,Product D,Electronics,29917,12396,5399,647,18442,11475,38.36,11475,38.356118594778884
2023-02-07,North,Product C,Furniture,36195,19482,12556,6920,38958,-2763,-7.63,-2763,-7.633651056775798
2023-02-08,North,Product A,Office Supplies,26566,25411,12214,4827,42452,-15886,-59.8,-15886,-59.798238349770386
2023-02-09,East,Product B,Office Supplies,14916,20207,12563,4397,37167,-22251,-149.18,-22251,-149.17538213998392
2023-02-10,East,Product C,Electronics,25806,29777,12022,2450,44249,-18443,-71.47,-18443,-71.46787568782453
2023-02-11,East,Product B,Electronics,14984,15998,9234,865,26097,-11113,-74.17,-11113,-74.1657768286172
2023-02-12,South,Product C,Electronics,6759,15261,10135,7895,33291,-26532,-392.54,-26532,-392.54327563249
2023-02-13,West,Product B,Furniture,46949,21539,11582,2174,35295,11654,24.82,11654,24.82267992928497
2023-02-14,West,Product A,Electronics,31838,5093,6445,5031,16569,15269,47.96,15269,47.958414473270935
2023-02-15,West,Product D,Office Supplies,7482,13722,11737,4994,30453,-22971,-307.02,-22971,-307.01684041700076
2023-02-16,West,Product A,Office Supplies,29442,24042,11603,5830,41475,-12033,-40.87,-12033,-40.87018544935806
2023-02-17,East,Product D,Electronics,38719,22162,14178,6010,42350,-3631,-9.38,-3631,-9.377824840517574
2023-02-18,South,Product B,Electronics,32965,21280,7570,3046,31896,1069,3.24,1069,3.2428333080539966
2023-02-19,South,Product C,Office Supplies,7079,13645,10196,7183,31024,-23945,-338.25,-23945,-338.25399067664927
2023-02-20,East,Product A,Furniture,7717,17083,9212,1062,27357,-19640,-254.5,-19640,-254.5030452248283
2023-02-21,South,Product D,Electronics,32952,2988,1406,4062,8456,24496,74.34,24496,74.33843165816945
2023-02-22,East,Product A,Electronics,25908,22500,10206,2989,35695,-9787,-37.78,-9787,-37.775976532345226
2023-02-23,West,Product D,Office Supplies,47460,8446,5431,5880,19757,27703,58.37,27703,58.37126000842815
2023-02-24,East,Product A,Electronics,29861,18335,11030,1272,30637,-776,-2.6,-776,-2.5987073440273267
2023-02-25,West,Product D,Furniture,12311,22563,12380,6993,41936,-29625,-240.64,-29625,-240.63845341564453
2023-02-26,West,Product D,Office Supplies,33071,18133,6243,2537,26913,6158,18.62,6158,18.620543678751776
2023-02-27,North,Product B,Electronics,28570,3682,7542,3923,15147,13423,46.98,13423,46.98284914245712
2023-02-28,East,Product D,Office Supplies,23449,7626,7936,3067,18629,4820,20.56,4820,20.55524755853128
2023-03-01,North,Product B,Electronics,38536,9424,9906,5939,25269,13267,34.43,13267,34.427548266555945
2023-03-02,East,Product D,Electronics,43258,14857,5146,6781,26784,16474,38.08,16474,38.08312913218364
2023-03-03,East,Product C,Electronics,33865,14155,13046,2073,29274,4591,13.56,4591,13.556769526059353
2023-03-04,North,Product C,Furniture,11645,19317,13611,4194,37122,-25477,-218.78,-25477,-218.7805925289824
2023-03-05,North,Product C,Furniture,43000,21982,14076,5587,41645,1355,3.15,1355,3.1511627906976742
2023-03-06,East,Product D,Office Supplies,31737,13425,1140,7011,21576,10161,32.02,10161,32.01625862557898
2023-03-07,South,Product B,Electronics,16485,3980,13757,3791,21528,-5043,-30.59,-5043,-30.59144676979072
2023-03-08,West,Product B,Electronics,43565,17522,5882,1746,25150,18415,42.27,18415,42.27017100883737
2023-03-09,North,Product D,Furniture,30522,28431,14645,4219,47295,-16773,-54.95,-16773,-54.95380381364262
2023-03-10,West,Product C,Electronics,17342,21440,7012,4339,32791,-15449,-89.08,-15449,-89.08430400184523
2023-03-11,South,Product C,Furniture,45806,10984,1963,859,13806,32000,69.86,32000,69.85984368859974
2023-03-12,South,Product B,Electronics,18087,19175,8151,5516,32842,-14755,-81.58,-14755,-81.57792889920937
2023-03-13,South,Product C,Office Supplies,42641,17883,9564,2876,30323,12318,28.89,12318,28.88769025116672
2023-03-14,North,Product A,Electronics,39249,28385,12827,3509,44721,-5472,-13.94,-5472,-13.941756477872048
2023-03-15,South,Product B,Electronics,15093,7390,11733,7106,26229,-11136,-73.78,-11136,-73.78254820115285
2023-03-16,North,Product C,Furniture,21438,25019,4610,3493,33122,-11684,-54.5,-11684,-54.50135273812856
2023-03-17,South,Product B,Electronics,45411,20639,10884,1462,32985,12426,27.36,12426,27.363414150756427
2023-03-18,West,Product A,Electronics,31399,21994,7894,4132,34020,-2621,-8.35,-2621,-8.347399598713334
2023-03-19,West,Product B,Furniture,24846,3607,14467,2327,20401,4445,17.89,4445,17.890203654511794
2023-03-20,East,Product B,Office Supplies,20708,23563,14959,7479,46001,-25293,-122.14,-25293,-122.14120146803167
2023-03-21,West,Product B,Office Supplies,49039,8573,8311,2113,18997,30042,61.26,30042,61.26144497236893
2023-03-22,East,Product B,Furniture,15998,19368,1105,2140,22613,-6615,-41.35,-6615,-41.34891861482685
2023-03-23,West,Product A,Furniture,35678,7776,6539,2716,17031,18647,52.26,18647,52.26470093615113
2023-03-24,North,Product D,Furniture,15682,5676,10873,4812,21361,-5679,-36.21,-5679,-36.2134931768907
2023-03-25,West,Product B,Furniture,13519,5380,13289,877,19546,-6027,-44.58,-6027,-44.58169982986907
2023-03-26,East,Product B,Furniture,36480,10711,13208,4714,28633,7847,21.51,7847,21.510416666666668
2023-03-27,East,Product C,Office Supplies,24694,10782,11828,4785,27395,-2701,-10.94,-2701,-10.937879646877784
2023-03-28,South,Product B,Office Supplies,8300,19434,7787,7410,34631,-26331,-317.24,-26331,-317.2409638554217
2023-03-29,North,Product C,Furniture,11722,15997,3137,869,20003,-8281,-70.64,-8281,-70.64494113632486
2023-03-30,West,Product D,Electronics,44986,22017,12608,6397,41022,3964,8.81,3964,8.811630284977548
2023-03-31,South,Product A,Furniture,29160,8342,5445,2696,16483,12677,43.47,12677,43.47393689986283
2023-04-01,West,Product A,Electronics,25059,19343,4530,4247,28120,-3061,-12.22,-3061,-12.21517219362305
2023-04-02,West,Product D,Furniture,40822,8059,2286,1151,11496,29326,71.84,29326,71.8387144186958
2023-04-03,South,Product A,Furniture,18575,10884,12371,6478,29733,-11158,-60.07,-11158,-60.0699865410498
2023-04-04,South,Product D,Office Supplies,12970,7655,14350,6107,28112,-15142,-116.75,-15142,-116.74633770239014
2023-04-05,South,Product D,Electronics,39911,14091,8052,1269,23412,16499,41.34,16499,41.339480343764876
2023-04-06,South,Product D,Electronics,26591,22857,4654,2921,30432,-3841,-14.44,-3841,-14.444736941070287
2023-04-07,South,Product A,Office Supplies,36821,21330,8102,1280,30712,6109,16.59,6109,16.591075744819534
2023-04-08,West,Product C,Office Supplies,14503,17251,3359,2216,22826,-8323,-57.39,-8323,-57.38812659449769
2023-04-09,South,Product D,Office Supplies,23922,26109,9105,6803,42017,-18095,-75.64,-18095,-75.64166875679291
2023-04-10,North,Product B,Office Supplies,17175,2526,9636,6994,19156,-1981,-11.53,-1981,-11.534206695778748
2023-04-11,East,Product A,Electronics,46124,5224,7441,4483,17148,28976,62.82,28976,62.821958199635766
2023-04-12,South,Product D,Electronics,26389,17069,6047,1811,24927,1462,5.54,1462,5.540187199211792
2023-04-13,South,Product D,Furniture,5822,28829,9227,3859,41915,-36093,-619.94,-36093,-619.9416008244589
2023-04-14,West,Product B,Furniture,22327,13536,6203,7535,27274,-4947,-22.16,-4947,-22.15702960541049
